cod;nm_categoria;de_categoria
V62;V62   Ocup v transp pes traum col veic mot 2 3 rod;Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas
V63;V63   Ocup veic tr pesado traum col auto caminhon;Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete
V64;V64   Ocup v tr pes tr col outr veic tr pes onib;Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus
V65;V65   Ocup veic tr pes traum col trem veic ferrov;Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
V66;V66   Ocup veic tr pesado traum col out veic n-mot;Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado
V67;V67   Ocup veic tr pesado traum col obj fixo parad;Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado
V68;V68   Ocup veic tr pesado traum ac transp s/colis;Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão
V69;V69   Ocup veic tr pesado traum outr ac transp NE;Ocupante de um veículo de transporte pesado traumatizado em outros acidentes de transporte não especificados
V70;V70   Ocup onibus traum colis pedestre animal;Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal
V71;V71   Ocup onibus traum colis veic a pedal;Ocupante de um ônibus traumatizado em colisão com um veículo a pedal
V72;V72   Ocup onibus traum col out veic mot 2 3 rodas;Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas
V73;V73   Ocup onibus traum colis automovel caminhonet;Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete
V74;V74   Ocup onibus traum colis veic transp pes onib;Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus
V75;V75   Ocup onibus traum colis trem veic ferrov;Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
V76;V76   Ocup onibus traum colis outr veic n-motor;Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado
V77;V77   Ocup onibus traum colis objeto fixo parado;Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado
V78;V78   Ocup onibus traum acid transp s/colis;Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão
V79;V79   Ocup onibus traum outr acid transp e NE;Ocupante de um ônibus traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
V80;V80   Pess mont anim oc veic anim traum ac transp;Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em um acidente de transporte
V81;V81   Ocup trem veic ferroviario traum acid transp;Ocupante de um trem [comboio] ou um veículo ferroviário traumatizado em um acidente de transporte
V82;V82   Ocup de um bonde traum acid transp;Ocupante de um bonde [carro elétrico] traumatizado em um acidente de transporte
V83;V83   Ocup veic esp mot area ind traum ac transp;Ocupante de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente de transporte
V84;V84   Ocup veic esp mot uso agric traum acid trans;Ocupante de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente de transporte
V85;V85   Ocup veic mot esp constr traum acid transp;Ocupante de um veículo a motor especial de construções traumatizado em um acidente de transporte
V86;V86   Ocup veic outr uso n-via pub traum ac transp;Ocupante de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública, traumatizado em um acidente de transporte
V87;V87   Acid trans tipo espec desconh mod transp vit;Acidente de trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima
V88;V88   Ac n-trans tipo espec desconh mod transp vit;Acidente não-de-trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima
V89;V89   Acid veic mot n-mot tipos de veic NE;Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)
V90;V90   Acid embarcacao caus afogamento submersao;Acidente com embarcação causando afogamento e submersão
V91;V91   Acid embarcacao causando outr tipo de traum;Acidente com embarcação causando outro tipo de traumatismo
V92;V92   Afog submers rel transp agua s/acid embarc;Afogamento e submersão relacionados com transporte por água sem acidente com a embarcação
V93;V93   Acid bord emb s/ac bem n caus afog submers;Acidente a bordo de uma embarcação, sem acidente da embarcação e não causando afogamento ou submersão
V94;V94   Outr acid transp p/agua e os NE;Outros acidentes de transporte por água e os não especificados
V95;V95   Acid de aeronave mot causando traum ao ocup;Acidente de aeronave a motor causando traumatismo ao ocupante
V96;V96   Acid aeronave s/motor causando traum a ocup;Acidente de uma aeronave sem motor causando traumatismo a ocupante
V97;V97   Outr acid espec de transporte aereo;Outros acidentes especificados de transporte aéreo
V98;V98   Outr acid transp espec;Outros acidentes de transporte especificados
V99;V99   Acid transp NE;Acidente de transporte não especificado
W00;W00   Queda mesmo nivel envolv gelo e neve;Queda no mesmo nível envolvendo gelo e neve
W01;W01   Queda mesmo nivel escorr tropec passo falso;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés]
W02;W02   Queda env patins rodas gelo esqui pranch rod;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas
W03;W03   Outr qued mesmo niv colis empurrao outr pess;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa
W04;W04   Queda enquanto carreg apoiado p/outr pessoas;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s)
W05;W05   Queda envolv uma cadeira de rodas;Queda envolvendo uma cadeira de rodas
W06;W06   Queda de um leito;Queda de um leito
W07;W07   Queda de uma cadeira;Queda de uma cadeira
W08;W08   Queda de outr tipo de mobilia;Queda de outro tipo de mobília
W09;W09   Queda envolv equipamento de playground;"Queda envolvendo equipamento de ""playground"""
W10;W10   Queda em ou de escadas ou degraus;Queda em ou de escadas ou degraus
W11;W11   Queda em ou de escadas de mao;Queda em ou de escadas de mão
W12;W12   Queda em ou de um andaime;Queda em ou de um andaime
W13;W13   Queda de ou p/fora edificios outr estruturas;Queda de ou para fora de edifícios ou outras estruturas
W14;W14   Queda de arvore;Queda de árvore
W15;W15   Queda de penhasco;Queda de penhasco
W16;W16   Merg pulo agua caus out traum n afog submers;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão
W17;W17   Outr quedas de um nivel a outr;Outras quedas de um nível a outro
W18;W18   Outr quedas no mesmo nivel;Outras quedas no mesmo nível
W19;W19   Queda s/especificacao;Queda sem especificação
W20;W20   Impacto caus objeto lanc projetado em queda;Impacto causado por objeto lançado, projetado ou em queda
W21;W21   Impacto acid ativo passivo caus equip esport;Impacto acidental ativo ou passivo causado por equipamento esportivo
W22;W22   Impacto acid ativo passivo caus outr objetos;Impacto acidental ativo ou passivo causado por outros objetos
W23;W23   Apert colhid comprim esmag dentro objetos;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos
W24;W24   Contato elevadores instr de transm NCOP;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte
W25;W25   Contato c/vidro cortante;Contato com vidro cortante
W26;W26   Contato c/faca espada e punhal;Contato com faca, espada e punhal
W27;W27   Contato c/ferramentas manuais s/motor;Contato com ferramentas manuais sem motor
W28;W28   Contato segadeira mot p/cortar aparar grama;Contato com segadeira motorizada para cortar ou aparar a grama
W29;W29   Contat out utens manuais ap domest equip mot;Contato com outros utensílios manuais e aparelhos domésticos equipados com motor
W30;W30   Contato c/maquinaria agricola;Contato com maquinaria agrícola
W31;W31   Contato c/outr maquinas e c/as NE;Contato com outras máquinas e com as não especificadas
W32;W32   Projetil de revolver;Projétil de revólver
W33;W33   Rifle espingarda armas fogo de maior tamanho;Rifle, espingarda e armas de fogo de maior tamanho
W34;W34   Projeteis de outr armas de fogo e das NE;Projéteis de outras armas de fogo e das não especificadas
W35;W35   Explosao ou ruptura de caldeira;Explosão ou ruptura de caldeira
W36;W36   Explosao ou ruptura de cilindro de gas;Explosão ou ruptura de cilindro de gás
W37;W37   Explosao ruptura pneumat tubulac mang press;Explosão ou ruptura de pneumático, tubulação ou mangueira, pressurizados
W38;W38   Explosao ruptura outr ap pressurizados espec;Explosão ou ruptura de outros aparelhos pressurizados especificados
W39;W39   Queima de fogos de artificio;Queima de fogos de artifício
W40;W40   Explosao de outr materiais;Explosão de outros materiais
W41;W41   Exposicao a um jato de alta pressao;Exposição a um jato de alta pressão
W42;W42   Exposicao ao ruido;Exposição ao ruído
W43;W43   Exposicao a vibracao;Exposição à vibração
W44;W44   Penetr corpo estranho olho orificio natural;Penetração de corpo estranho no ou através de olho ou orifício natural
W45;W45   Penetracao corpo objeto estranho pele;Penetração de corpo ou objeto estranho através da pele
W46;W46   Contato com agulha hipodérmica;Contato com agulha hipodérmica
W49;W49   Exposicao outr forcas mecan inanimadas e NE;Exposição a outras forças mecânicas inanimadas e às não especificadas
W50;W50   Golpe panc pontape mord escor infl outr pess;Golpe, pancada, pontapé, mordedura ou escoriação infligidos por outra pessoa
W51;W51   Colis entre duas pessoas;Colisão entre duas pessoas
W52;W52   Esmag empurr pisot multidao deband massa;Esmagado, empurrado ou pisoteado por multidão ou debandada em massa de pessoas
W53;W53   Mordedura de rato;Mordedura de rato
W54;W54   Mordedura ou golpe provocado p/cao;Mordedura ou golpe provocado por cão
W55;W55   Mordedura golpe provoc outr animais mamif;Mordedura ou golpe provocado por outros animais mamíferos
W56;W56   Contato c/animais marinhos;Contato com animais marinhos
W57;W57   Morded picadas inseto outr artrop n-venen;Mordeduras e picadas de inseto e de outros artrópodes, não-venenosos
W58;W58   Mordedura golpe provoc crocodilo ou aligátor;Mordedura ou golpe provocado por crocodilo ou aligátor
W59;W59   Mordedura ou esmag provocado p/outr repteis;Mordedura ou esmagamento provocado por outros répteis
W60;W60   Contato espinhos plantas ou folhas agucadas;Contato com espinhos de plantas ou com folhas aguçadas
W64;W64   Exposicao outr forcas mecan animadas e as NE;Exposição a outras forças mecânicas animadas e às não especificadas
W65;W65   Afogamento submersao durante banho banheira;Afogamento e submersão durante banho em banheira
W66;W66   Afogamento submersao consec queda banheira;Afogamento e submersão consecutiva a queda dentro de uma banheira
W67;W67   Afogamento e submersao em piscina;Afogamento e submersão em piscina
W68;W68   Afogamento submersao conseq queda piscina;Afogamento e submersão conseqüente a queda dentro de uma piscina
W69;W69   Afogamento e submersao em aguas naturais;Afogamento e submersão em águas naturais
W70;W70   Afogamento submersao conseq queda aguas nat;Afogamento e submersão conseqüentes a queda dentro de águas naturais
W73;W73   Outr afogamentos e submersao espec;Outros afogamentos e submersão especificados
W74;W74   Afogamento e submersao NE;Afogamento e submersão não especificados
W75;W75   Sufocacao e estrangulamento acid na cama;Sufocação e estrangulamento acidental na cama
W76;W76   Outr enforcamento e estrangulamento acid;Outro enforcamento e estrangulamento acidental
W77;W77   Risco resp dev desmor queda terra outr subst;Risco a respiração devido a desmoronamento, queda de terra e de outras substâncias
W78;W78   Inalacao do conteudo gastrico;Inalação do conteúdo gástrico
W79;W79   Inalacao ingest aliment caus obstr trat resp;Inalação e ingestão de alimentos causando obstrução do trato respiratório
W80;W80   Inalac ingest outr obj caus obstr trat resp;Inalação e ingestão de outros objetos causando obstrução do trato respiratório
W81;W81   Confinado aprision ambiente pobre oxigenio;Confinado ou aprisionado em um ambiente pobre em oxigênio
W83;W83   Outr riscos espec a respiracao;Outros riscos especificados à respiração
W84;W84   Riscos NE a respiracao;Riscos não especificados à respiração
W85;W85   Exposicao linhas transm de corrente eletrica;Exposição a linhas de transmissão de corrente elétrica
W86;W86   Exposicao a outr corrente eletrica espec;Exposição a outra corrente elétrica especificada
W87;W87   Exposicao a corrente eletrica NE;Exposição a corrente elétrica não especificada
W88;W88   Exposicao a radiacao ionizante;Exposição a radiação ionizante
W89;W89   Expos fontes lumin artif visiv luz ultraviol;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta
W90;W90   Exposicao outr tipos radiacao nao-ionizante;Exposição a outros tipos de radiação não-ionizante
W91;W91   Exposicao a tipo NE de radiacao;Exposição a tipo não especificado de radiação
W92;W92   Exposicao calor excessivo orig artificial;Exposição a um calor excessivo de origem artificial
W93;W93   Exposicao frio excessivo orig artificial;Exposição a um frio excessivo de origem artificial
W94;W94   Expos alta baixa variacoes pressao atmosf;Exposição a alta, baixa e a variações da pressão atmosférica
W99;W99   Exposicao outr fatores ambient artif e NE;Exposição a outros fatores ambientais artificiais e aos não especificados
X00;X00   Expos fogo n-contr edificio outr tipo constr;Exposição a fogo não-controlado em um edifício ou outro tipo de construção
X01;X01   Expos fogo n-contr fora edif out tipo constr;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção
X02;X02   Exposicao fogo contr edif outr tipo constr;Exposição a fogo controlado em um edifício ou outro tipo de construção
X03;X03   Expos fogo contr fora edif outr tipo constr;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção
X04;X04   Exposicao combustao subst muito inflamavel;Exposição a combustão de substância muito inflamável
X05;X05   Exposicao a combustao de roupa de dormir;Exposição a combustão de roupa de dormir
X06;X06   Exposicao combustao outr tipo roupa acessor;Exposição a combustão de outro tipo de roupa ou de acessórios
X08;X08   Exposicao outr tipo espec fumaca fogo chamas;Exposição a outro tipo especificado de fumaça, fogo ou chamas
X09;X09   Exposicao a tipo NE de fumaca fogo chamas;Exposição a tipo não especificado de fumaça, fogo ou chamas
X10;X10   Contato bebid alim gord oleo cozinha quentes;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes
X11;X11   Contato c/agua corrente quente de torneira;Contato com água corrente quente de torneira
X12;X12   Contato c/outr liquidos quentes;Contato com outros líquidos quentes
X13;X13   Contato c/vapor dagua e c/vapores quentes;Contato com vapor d'água e com vapores quentes
X14;X14   Contato c/ar e gases quentes;Contato com ar e gases quentes
X15;X15   Contato c/aparelhos domesticos quentes;Contato com aparelhos domésticos quentes
X16;X16   Contato c/aquecedores radiadores e tubulacao;Contato com aquecedores, radiadores e tubulação
X17;X17   Contato motores maquinas ferramentas quentes;Contato com motores, máquinas e ferramentas quentes
X18;X18   Contato c/outr metais quentes;Contato com outros metais quentes
X19;X19   Contato outr fontes calor subst quentes NE;Contato com outras fontes de calor ou com substâncias quentes não especificados
X20;X20   Contato c/serpentes e lagartos venenosos;Contato com serpentes e lagartos venenosos
X21;X21   Contato c/aranhas venenosas;Contato com aranhas venenosas
X22;X22   Contato c/escorpioes;Contato com escorpiões
X23;X23   Contato c/abelhas vespas e vespoes;Contato com abelhas, vespas e vespões
X24;X24   Contato c/centopeias e miriapodes venenosas;Contato com centopéias e miriápodes venenosas (tropicais)
X25;X25   Contato c/outr artropodes venenosos;Contato com outros artrópodes venenosos
X26;X26   Contato animais e plantas marinhos venenosos;Contato com animais e plantas marinhos venenosos
X27;X27   Contato c/outr animais venenosos espec;Contato com outros animais venenosos especificados
X28;X28   Contato c/outr plantas venenosas espec;Contato com outras plantas venenosas especificadas
X29;X29   Contato animais ou plantas venenosos s/espec;Contato com animais ou plantas venenosos, sem especificação
X30;X30   Exposicao a calor natural excessivo;Exposição a calor natural excessivo
X31;X31   Exposicao a frio natural excessivo;Exposição a frio natural excessivo
X32;X32   Exposicao a luz solar;Exposição à luz solar
X33;X33   Vitima de raio;Vítima de raio
X34;X34   Vitima de terremoto;Vítima de terremoto
X35;X35   Vitima de erupcao vulcanica;Vítima de erupção vulcânica
X36;X36   Vitima avalanc desab terra out mov sup terr;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre
X37;X37   Vitima de tempestade cataclismica;Vítima de tempestade cataclísmica
X38;X38   Vitima de inundacao;Vítima de inundação
X39;X39   Exposicao a outr forcas da natureza e as NE;Exposição a outras forças da natureza e às não especificadas
X40;X40   Envenen acid analg antipir anti-reum n-opiac;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos
X41;X41   Env ac anticon sed hipn antipark psicot NCOP;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte
X42;X42   Envenen acid narcot psicodislepticos NCOP;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
X43;X43   Envenen acid outr subst farm sist nerv auton;Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo
X44;X44   Envenen acid outr drog medic subst biolog NE;Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas
X45;X45   Envenen acid p/e exposicao ao alcool;Envenenamento [intoxicação] acidental por e exposição ao álcool
X46;X46   Envenen acid solv org hidrocarb halog vapor;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores
X47;X47   Intox acid outr gases e vapores;Intoxicação acidental por e exposição a outros gases e vapores
X48;X48   Envenen acid p/e exposicao a pesticidas;Envenenamento [intoxicação] acidental por e exposição a pesticidas
X49;X49   Envenen acid outr subst quim nocivas e as NE;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas
X50;X50   Excesso exerc movim vigorosos ou repetitivos;Excesso de exercícios e movimentos vigorosos ou repetitivos
X51;X51   Viagem e movimento;Viagem e movimento
X52;X52   Estadia prolongada ambiente agravitacional;Estadia prolongada em ambiente agravitacional
X53;X53   Falta de alimento;Falta de alimento
X54;X54   Falta de agua;Falta de água
X57;X57   Privacao NE;Privação não especificada
X58;X58   Exposicao a outr fatores espec;Exposição a outros fatores especificados
X59;X59   Exposicao a fatores NE;Exposição a fatores não especificados
X60;X60   Auto-int int analg antipir anti-reum n-opiac;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos
X61;X61   Auto-int int a-conv sed hip a-park psic NCOP;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte
X62;X62   Auto-intox intenc narcot psicodislept NCOP;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
X63;X63   Auto-int int outr subst farm sist nerv auton;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo
X64;X64   Auto-int intenc out drog med subst biolog NE;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas
X65;X65   Auto-intox voluntaria p/alcool;Auto-intoxicação voluntária por álcool
X66;X66   Auto-int int solv org hidrocarb halog vapor;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores
X67;X67   Auto-intox intenc p/outr gases e vapores;Auto-intoxicação intencional por outros gases e vapores
X68;X68   Auto-intox intenc a pesticidas;Auto-intoxicação por e exposição, intencional, a pesticidas
X69;X69   Auto-int intenc outr prod quim subst noc NE;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas
X70;X70   Lesao autoprov intenc enforc estrang sufoc;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação
X71;X71   Lesao autoprov intenc p/afogamento submersao;Lesão autoprovocada intencionalmente por afogamento e submersão
X72;X72   Lesao autoprov intenc disp arma fogo de mao;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão
X73;X73   Les autoprov int disp arm fog maior calibre;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre
X74;X74   Lesao autopr intenc disp outr arma fogo e NE;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada
X75;X75   Lesao autoprov intenc p/disp explosivos;Lesão autoprovocada intencionalmente por dispositivos explosivos
X76;X76   Lesao autoprov intenc fumaca fogo e chamas;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas
X77;X77   Lesao autopr int vapor agua gas  obj quent;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes
X78;X78   Lesao autoprov intenc obj cortante  penetr;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante
X79;X79   Lesao autoprov intenc p/objeto contundente;Lesão autoprovocada intencionalmente por objeto contundente
X80;X80   Lesao autoprov intenc precip lugar elevado;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado
X81;X81   Lesao autoprov intenc precip perm obj movim;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento
X82;X82   Lesao autoprov intenc impacto veic a motor;Lesão autoprovocada intencionalmente por impacto de um veículo a motor
X83;X83   Lesao autoprov intenc p/outr meios espec;Lesão autoprovocada intencionalmente por outros meios especificados
X84;X84   Lesao autoprov intenc p/meios NE;Lesão autoprovocada intencionalmente por meios não especificados
X85;X85   Agressao meio drog medic e subst biologicas;Agressão por meio de drogas, medicamentos e substâncias biológicas
X86;X86   Agressao p/meio de subst corrosivas;Agressão por meio de substâncias corrosivas
X87;X87   Agressao p/pesticidas;Agressão por pesticidas
X88;X88   Agressao p/meio de gases e vapores;Agressão por meio de gases e vapores
X89;X89   Agressao outr prod quim subst nocivas espec;Agressão por meio de outros produtos químicos e substâncias nocivas especificados
X90;X90   Agressao prod quimicos e subst nocivas NE;Agressão por meio de produtos químicos e substâncias nocivas não especificados
X91;X91   Agressao enforc estrangulamento sufocacao;Agressão por meio de enforcamento, estrangulamento e sufocação
X92;X92   Agressao p/meio de afogamento e submersao;Agressão por meio de afogamento e submersão
X93;X93   Agressao disparo de arma de fogo de mao;Agressão por meio de disparo de arma de fogo de mão
X94;X94   Agressao disparo arma fogo de maior calibre;Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre
X95;X95   Agressao disparo outr arma de fogo ou NE;Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
X96;X96   Agressao p/meio de material explosivo;Agressão por meio de material explosivo
X97;X97   Agressao p/meio de fumaca fogo e chamas;Agressão por meio de fumaça, fogo e chamas
X98;X98   Agressao vapor agua gases ou objetos quentes;Agressão por meio de vapor de água, gases ou objetos quentes
X99;X99   Agressao objeto cortante ou penetrante;Agressão por meio de objeto cortante ou penetrante
Y00;Y00   Agressao p/meio de um objeto contundente;Agressão por meio de um objeto contundente
Y01;Y01   Agressao p/meio projecao de um lugar elevado;Agressão por meio de projeção de um lugar elevado
Y02;Y02   Agressao proj coloc vitima obj movimento;Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento
Y03;Y03   Agressao p/meio de impacto veic a motor;Agressão por meio de impacto de um veículo a motor
Y04;Y04   Agressao p/meio de forca corporal;Agressão por meio de força corporal
Y05;Y05   Agressao sexual p/meio de forca fisica;Agressão sexual por meio de força física
Y06;Y06   Negligencia e abandono;Negligência e abandono
Y07;Y07   Outr sindr de maus tratos;Outras síndromes de maus tratos
Y08;Y08   Agressao p/outr meios espec;Agressão por outros meios especificados
Y09;Y09   Agressao p/meios NE;Agressão por meios não especificados
Y10;Y10   Env analg antipir antireum n-opiac int n det;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada
Y11;Y11   Env antic sed hipn antip psic NCOP int n det;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada
Y12;Y12   Envenen narcot psicodislept NCOP int n det;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada
Y13;Y13   Env out subst farm sist nerv auton int n det;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada
Y14;Y14   Env out drog med subst biolog e NE int n det;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada
Y15;Y15   Envenen alcool intencao nao determinada;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada
Y16;Y16   Env solv org hidrocarb halog vap int n det;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada
Y17;Y17   Envenen outr gases vapores intenc n det;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada
Y18;Y18   Envenen pesticidas intencao nao determinada;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada
Y19;Y19   Env out prod quim subst noc e NE int n det;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada
Y20;Y20   Enforc estrang sufoc intenc nao determinada;Enforcamento, estrangulamento e sufocação, intenção não determinada
Y21;Y21   Afogamento submersao intenc nao determinada;Afogamento e submersão, intenção não determinada
Y22;Y22   Disparo de pistola intencao nao determinada;Disparo de pistola, intenção não determinada
Y23;Y23   Disparo arma fogo maior calibre intenc n det;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada
Y24;Y24   Disparo outr arma fogo e NE intenc nao det;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada
Y25;Y25   Contato c/material explosivo intenc n det;Contato com material explosivo, intenção não determinada
Y26;Y26   Exposicao fumaca fogo chamas intenc n det;Exposição a fumaça, fogo e chamas, intenção não determinada
Y27;Y27   Exposic vapor agua gas obj quente int n det;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada
Y28;Y28   Contato obj cortante penetrante intenc n det;Contato com objeto cortante ou penetrante, intenção não determinada
Y29;Y29   Contato obj contundente intenc n det;Contato com objeto contundente, intenção não determinada
Y30;Y30   Queda salto empurr lugar elev intenc n det;Queda, salto ou empurrado de um lugar elevado, intenção não determinada
Y31;Y31   Queda perman corrida obj mov intenc n det;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada
Y32;Y32   Impacto veic a motor intenc nao determinada;Impacto de um veículo a motor, intenção não determinada
Y33;Y33   Outr fatos ou eventos espec intenc n det;Outros fatos ou eventos especificados, intenção não determinada
Y34;Y34   Fatos ou eventos NE e intenc nao determinada;Fatos ou eventos não especificados e intenção não determinada
Y35;Y35   Intervencao legal;Intervenção legal
Y36;Y36   Operacoes de guerra;Operações de guerra
Y40;Y40   Antibioticos sistemicos;Efeitos adversos de antibióticos sistêmicos
Y41;Y41   Outr antiinfecc e antiparasit sistemicos;Efeitos adversos de outros antiinfecciosos e antiparasitários sistêmicos
Y42;Y42   Hormonios subst sintet antagonistas NCOP;Efeitos adversos de hormônios e seus substitutos sintéticos e antagonistas, não classificados em outra parte
Y43;Y43   Subst de acao prim sistemica;Efeitos adversos de substâncias de ação primariamente sistêmica
Y44;Y44   Subst farm atuam prim s/constit sangue;Efeitos adversos de substâncias farmacológicas que atuam primariamente sobre os constituintes do sangue
Y45;Y45   Subst analges antipiret e antiinflamatorias;Efeitos adversos de substâncias analgésicas, antipiréticas e antiinflamatórias
Y46;Y46   Drogas anticonvulsiv e antiparkinsonianas;Efeitos adversos de drogas anticonvulsivantes (antiepilépticas) e antiparkinsonianas
Y47;Y47   Sedativos hipnoticos e tranquilizantes;Efeitos adversos de sedativos, hipnóticos e tranquilizantes [ansiolíticos]
Y48;Y48   Anestesicos e gases terapeuticos;Efeitos adversos de anestésicos e gases terapêuticos
Y49;Y49   Subst psicotropicas NCOP;Efeitos adversos de substâncias psicotrópicas, não classificadas em outra parte
Y50;Y50   Estimulantes do sist nervoso central NCOP;Efeitos adversos de estimulantes do sistema nervoso central, não classificados em outra parte
Y51;Y51   Drogas que atuam prim s/sist nerv auton;Efeitos adversos de drogas que atuam primariamente sobre o sistema nervoso autônomo
Y52;Y52   Subst que atuam prim aparelho cardiovascular;Efeitos adversos de substâncias que atuam primariamente sobre o aparelho cardiovascular
Y53;Y53   Subst que atuam prim aparelho gastrointest;Efeitos adversos de substâncias que atuam primariamente sobre o aparelho gastrointestinal
Y54;Y54   Subst atuam prim metab agua sais min ac uric;Efeitos adversos de substâncias que atuam primariamente sobre o metabolismo da água, dos sais minerais e do ácido úrico
